FAKE_ACCTCODE,OPT_IN_DATE,FUEL_ONLY_PARENT_ACCT,CLI_AMOUNT,FLEETCOR_OPEN_DATE,CITY,STATE,ZIP,TERM_DAYS,DUE_DAYS,LOCK_DAYS,CREDIT_LIMIT,LOCK_CODE,LOCK_REASON,LOCK_TYPE,DEPOSIT_FLAG,PORTFOLIO,LOB_REPORTING,YEARMONTH,GALLONS,FUEL_SPEND,NONFUEL_SPEND,TOT_SPEND,PAYMENT_AMOUNT,NO_OF_PAYMENT,SNAPSHOT_DATE,CURRENT_BALANCE,UNBILLED_BALANCE,DAYS_PAST_DUE,BAL_1_30,BAL_31_60,BAL_61_90,BAL_90_PLUS
139710,11/20/2022,0,4000.00,4/7/2022,ORLANDO,FL,32859,30,14,10,4000,Z,UNLOCKED,UNLOCKED,0,BPMC,NAP,202210,43.52,142.44,0,142.44,252.48,1,44835,0,0,31,11.38,1669.59,0,0
268378,9/14/2022,0,13000.00,3/23/2019,CHICAGO,IL,60638,7,7,10,10300,Z,UNLOCKED,UNLOCKED,0,FMMC,NAL MC,202210,536.14,2658.75,25.99,2684.74,2229.96,6,44835,3944.56,0,0,0,0,0,0
269720,3/22/2021,0,4000.00,12/10/2019,INDIANAPOLIS,IN,46240,7,7,3,4000,I,BAD AGENCY,PERM LOCK,1,BPMC,NAP,202210,145.888,611.62,2763.72,3375.34,3689.9,3,44835,3944.56,0,0,0,0,0,0
270314,1/27/2022,0,11000.00,12/19/2019,AURORA,CO,80016,30,15,3,1800,P,PAYMENT PLAN,PERM LOCK,0,FMMC,NAL MC,202210,29.71,100.01,1982.74,2082.75,1719.61,1,44835,3944.56,0,0,0,0,0,0
115900,5/14/2022,0,7500.00,3/10/2021,LA VERNE,CA,91750,30,15,5,900,Z,UNLOCKED,UNLOCKED,1,FMMC,NAL MC,202210,158.532,960.7,99.99,1060.69,911.07,1,44835,0,0,0,0,0,0,0
118792,9/22/2022,0,5000.00,5/21/2021,DOUGLASVILLE,GA,30135,30,14,18,5000,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,167.723,545.24,0,545.24,992.81,2,44835,578.12,325.79,0,0,0,0,0
125851,10/9/2021,0,6000.00,9/17/2021,ABERDEEN,MS,39730,30,15,3,3500,Z,UNLOCKED,UNLOCKED,0,FMMC,NAL MC,202210,4.83,14.27,3430.66,3444.93,3613.66,2,44835,0,0,0,0,0,0,0
127066,8/10/2022,0,3000.00,10/5/2021,LITHIA SPRINGS,GA,30122,30,21,3,2900,P,PAYMENT PLAN,PERM LOCK,1,SWMC,NAP,202210,0,0,1186.87,1186.87,2515.13,2,44835,0,0,12,2135.83,0,0,0
129383,7/3/2022,0,10000.00,11/6/2021,WEST BEND,WI,53090,7,7,3,10000,I,BAD AGENCY,PERM LOCK,0,FMMC,NAL MC,202210,215.68,986.19,0,986.19,1500,1,44835,0,5000,0,0,0,0,0
131340,7/24/2022,0,3500.00,12/9/2021,SPRING,TX,77373,30,14,10,2000,I,BAD AGENCY,PERM LOCK,0,BPMC,NAP,202210,0,0,1012.05,1012.05,830.61,1,44835,0,342.8,0,0,0,0,0
